ride_id,date,hour,pickup_area,distance_km,fare,passengers,rating
149,2025-03-19,4,Hillcrest,11.85,18.45,1,3.0
150,2025-02-08,15,Greenfield,5.93,8.62,1,5.0
151,2025-01-13,7,Uptown,13.28,18.29,1,5.0
152,2025-01-31,9,Hillcrest,5.85,8.92,1,5.0
153,2025-02-27,17,Greenfield,3.32,5.99,1,5.0
154,2025-02-06,14,Airport,18.32,,2,2.0
155,2025-03-22,5,Tech Park,9.57,14.77,1,5.0
156,2025-01-20,17,Riverside,11.57,18.68,1,5.0
157,2025-02-09,16,Lakeside,5.62,9.39,1,4.0
158,2025-03-31,11,Greenfield,0.92,5.75,1,5.0
159,2025-01-11,12,Tech Park,7.25,12.79,2,4.0
160,2025-01-04,8,Uptown,23.89,35.24,4,3.0
161,2025-03-15,7,Greenfield,3.72,4.93,1,4.0
162,2025-01-23,18,Hillcrest,4.72,6.5,2,3.0
163,2025-01-24,16,Lakeside,3.09,9.05,4,5.0
164,2025-02-22,20,Old Town,8.46,15.72,2,3.0
165,2025-02-12,18,Lakeside,4.19,10.23,1,2.0
166,2025-03-12,9,Lakeside,3.31,6.52,1,5.0
167,2025-01-15,15,Hillcrest,1.59,5.96,2,5.0
168,2025-03-11,23,Tech Park,1.51,5.31,1,5.0
169,2025-03-21,16,Lakeside,6.06,9.49,2,5.0
170,2025-03-12,5,Greenfield,8.74,12.62,1,4.0
171,2025-01-16,8,Market District,8.25,12.87,2,4.0
172,2025-02-09,5,Hillcrest,5.62,10.94,1,5.0
173,2025-01-15,19,Airport,3.61,7.34,2,5.0
174,2025-02-07,20,Tech Park,0.85,4.42,2,1.0
175,2025-02-01,16,Hillcrest,11.35,16.11,1,5.0
176,2025-03-18,2,Airport,0.64,3.4,1,4.0
177,2025-02-23,18,Hillcrest,3.98,8.63,1,5.0
178,2025-02-08,13,Riverside,8.17,11.3,1,5.0
179,2025-02-12,16,Lakeside,8.74,12.57,3,3.0
180,2025-03-31,6,Market District,13.53,19.22,1,3.0
181,2025-02-22,10,Old Town,2.85,7.0,2,4.0
182,2025-02-18,22,Riverside,4.86,7.62,1,5.0
183,2025-03-06,19,Airport,7.48,12.78,3,5.0
184,2025-03-09,16,Downtown,8.93,13.88,2,5.0
185,2025-03-25,11,Airport,9.77,15.71,1,
186,2025-02-13,16,Airport,6.06,9.73,3,3.0
187,2025-03-10,19,Old Town,6.4,11.25,2,3.0
188,2025-03-04,14,Market District,12.86,18.73,1,4.0
189,2025-02-06,11,Airport,6.46,7.84,1,5.0
190,2025-03-23,4,Lakeside,1.85,4.38,1,5.0
191,2025-01-04,8,Old Town,16.88,24.93,2,5.0
192,2025-02-17,17,Riverside,12.65,15.63,1,5.0
193,2025-03-29,8,Riverside,12.35,16.34,1,4.0
194,2025-02-18,11,Lakeside,10.19,15.12,3,5.0
195,2025-03-01,19,Lakeside,19.85,28.58,1,5.0
196,2025-03-01,18,Hillcrest,6.2,9.29,1,5.0
197,2025-02-14,20,Tech Park,4.22,8.09,2,5.0
198,2025-02-08,6,Tech Park,10.89,17.16,3,5.0
199,2025-02-18,21,Market District,5.95,9.83,1,4.0
200,2025-01-03,15,Greenfield,6.28,11.23,1,3.0
201,2025-01-07,20,Greenfield,3.89,8.86,2,5.0
202,2025-02-15,12,Uptown,10.57,19.06,2,4.0
203,2025-03-26,5,Airport,2.28,3.0,3,4.0
204,2025-02-09,22,Downtown,11.77,17.72,1,4.0
205,2025-01-12,18,Old Town,2.87,9.9,2,5.0
206,2025-01-17,18,Hillcrest,9.05,15.35,1,5.0
207,2025-01-22,19,Lakeside,9.62,13.82,4,5.0
208,2025-02-13,9,Lakeside,17.91,27.8,4,5.0
209,2025-01-29,22,Hillcrest,5.94,8.74,1,4.0
210,2025-01-02,17,Hillcrest,8.78,15.56,1,5.0
211,2025-03-28,12,Market District,16.15,23.26,1,4.0
212,2025-02-17,6,Uptown,3.44,4.49,1,4.0
213,2025-03-13,20,Market District,8.87,12.1,1,5.0
214,2025-03-01,14,Tech Park,6.82,13.87,1,5.0
215,2025-01-05,17,Lakeside,0.98,3.41,1,5.0
216,2025-03-10,7,Tech Park,5.98,,1,4.0
217,2025-03-31,17,Market District,11.98,20.85,2,5.0
218,2025-02-23,11,Lakeside,7.16,10.15,2,2.0
219,2025-02-05,15,Old Town,8.8,13.96,1,5.0
220,2025-01-31,17,Airport,9.49,14.62,4,5.0
221,2025-03-24,16,Downtown,5.77,9.95,1,5.0
222,2025-01-16,16,Airport,4.94,9.08,2,4.0
223,2025-03-18,7,Downtown,16.02,,2,5.0
224,2025-01-17,11,Airport,14.73,18.54,2,4.0
225,2025-03-17,6,Uptown,6.64,9.02,1,5.0
226,2025-03-18,5,Greenfield,2.95,8.96,3,5.0
227,2025-01-17,20,Riverside,14.86,22.9,1,3.0
228,2025-01-17,4,Old Town,5.88,10.88,2,5.0
229,2025-02-11,4,Riverside,12.06,17.82,1,5.0
230,2025-02-23,6,Airport,12.05,18.83,1,4.0
231,2025-03-07,6,Lakeside,14.3,19.47,1,2.0
232,2025-01-06,19,Lakeside,11.47,16.95,2,5.0
233,2025-03-03,18,Tech Park,2.24,6.8,2,5.0
234,2025-02-26,7,Airport,5.89,11.73,1,5.0
235,2025-01-17,15,Market District,1.46,3.0,2,5.0
236,2025-02-11,19,Market District,2.1,7.86,1,5.0
237,2025-03-19,11,Airport,16.98,24.89,2,5.0
238,2025-03-25,7,Tech Park,5.78,10.61,1,5.0
239,2025-02-13,17,Tech Park,14.02,20.9,1,5.0
240,2025-02-24,18,Greenfield,6.68,11.1,1,5.0
241,2025-03-02,8,Airport,1.05,3.0,2,5.0
242,2025-01-13,20,Riverside,9.35,14.38,1,4.0
243,2025-03-13,18,Airport,10.24,15.0,1,3.0
244,2025-02-24,5,Greenfield,9.48,13.36,2,5.0
245,2025-03-15,9,Riverside,1.01,5.36,2,5.0
246,2025-01-14,19,Hillcrest,9.78,16.69,1,4.0
247,2025-03-15,12,Tech Park,13.57,17.38,2,1.0
248,2025-03-21,4,Market District,5.38,9.53,3,
249,2025-02-04,9,Riverside,4.87,9.11,1,4.0
250,2025-02-13,15,Downtown,5.44,7.46,1,5.0
251,2025-03-26,15,Airport,1.74,3.3,1,4.0
252,2025-01-04,11,Hillcrest,3.75,11.32,1,5.0
253,2025-02-13,9,Old Town,9.42,13.46,1,5.0
254,2025-03-14,10,Downtown,5.62,9.99,1,4.0
255,2025-01-07,15,Greenfield,8.02,14.65,1,5.0
256,2025-03-19,15,Tech Park,8.33,15.99,1,4.0
257,2025-01-15,16,Tech Park,17.56,26.39,1,4.0
258,2025-03-17,16,Hillcrest,11.66,19.12,2,5.0
259,2025-02-20,9,Downtown,0.65,3.0,1,2.0
260,2025-01-18,17,Greenfield,8.13,14.0,1,5.0
261,2025-02-25,8,Riverside,1.82,5.44,1,4.0
262,2025-03-06,19,Airport,11.3,18.81,1,4.0
263,2025-02-25,10,Lakeside,10.8,16.43,3,3.0
264,2025-03-15,13,Market District,10.65,16.66,1,4.0
265,2025-02-07,8,Tech Park,2.12,3.63,1,5.0
266,2025-03-21,21,Old Town,8.3,14.31,1,3.0
267,2025-02-01,18,Market District,8.65,15.15,1,5.0
268,2025-02-09,16,Uptown,8.98,13.48,1,5.0
269,2025-03-07,6,Hillcrest,6.95,11.87,1,3.0
270,2025-02-14,16,Riverside,14.78,20.37,1,5.0
271,2025-01-26,7,Market District,6.3,12.86,1,4.0
272,2025-01-10,8,Lakeside,13.66,18.03,1,4.0
273,2025-03-16,18,Market District,12.95,19.46,2,1.0
274,2025-02-11,21,Riverside,5.91,12.3,1,5.0
275,2025-03-22,23,Greenfield,6.69,10.53,1,5.0
276,2025-01-10,22,Lakeside,16.4,23.04,1,5.0
277,2025-02-06,6,Airport,7.09,9.7,2,5.0
278,2025-03-01,5,Lakeside,3.48,5.87,3,4.0
279,2025-01-25,17,Market District,9.67,17.4,1,5.0
280,2025-01-08,15,Airport,13.42,19.63,2,3.0
281,2025-01-11,7,Downtown,11.87,16.25,1,5.0
282,2025-02-26,9,Old Town,9.33,15.37,1,5.0
283,2025-02-22,18,Market District,20.78,28.56,1,4.0
284,2025-02-12,6,Old Town,5.38,8.66,1,4.0
285,2025-02-06,16,Market District,14.45,23.42,3,5.0
286,2025-03-16,6,Old Town,4.34,8.85,1,4.0
287,2025-03-26,16,Riverside,11.66,17.96,1,2.0
288,2025-02-09,13,Old Town,16.24,26.31,2,4.0
289,2025-03-29,6,Tech Park,6.56,11.46,1,5.0
290,2025-02-09,9,Uptown,11.79,20.84,1,4.0
291,2025-01-25,7,Riverside,4.51,6.29,1,5.0
292,2025-01-13,5,Old Town,8.33,16.02,3,4.0
293,2025-03-18,16,Riverside,9.62,14.98,1,3.0
294,2025-03-21,11,Lakeside,21.13,29.17,1,5.0
295,2025-01-31,16,Market District,13.72,21.36,1,4.0
296,2025-02-27,13,Hillcrest,11.42,16.81,1,2.0
297,2025-03-02,9,Old Town,14.04,21.98,2,4.0
298,2025-02-26,19,Greenfield,13.83,22.23,2,5.0
299,2025-02-23,12,Uptown,11.74,17.51,2,5.0
300,2025-02-02,8,Lakeside,14.53,20.16,3,4.0
301,2025-01-14,9,Greenfield,6.53,11.03,1,5.0
302,2025-02-27,11,Tech Park,9.46,14.87,1,3.0
303,2025-02-27,13,Downtown,12.23,19.37,1,5.0
304,2025-02-17,14,Tech Park,6.96,11.88,4,5.0
305,2025-01-04,18,Airport,16.39,23.66,2,4.0
306,2025-01-19,8,Downtown,11.54,17.78,1,3.0
307,2025-03-31,6,Lakeside,9.47,16.42,1,5.0
308,2025-01-11,4,Greenfield,9.16,13.36,1,5.0
309,2025-03-19,21,Airport,0.88,3.0,2,5.0
310,2025-01-16,9,Uptown,16.33,23.63,1,4.0
311,2025-02-28,6,Airport,17.91,23.61,2,5.0
312,2025-03-10,1,Hillcrest,10.7,15.66,1,4.0
313,2025-02-07,14,Downtown,12.04,18.52,2,5.0
314,2025-02-23,6,Airport,2.1,6.54,1,5.0
315,2025-03-09,9,Tech Park,8.0,15.67,3,5.0
316,2025-02-19,14,Greenfield,0.87,3.0,2,5.0
317,2025-01-09,17,Uptown,9.72,14.77,2,4.0
318,2025-03-16,19,Riverside,2.24,7.58,1,5.0
319,2025-03-24,7,Lakeside,14.09,21.33,4,5.0
320,2025-01-24,9,Airport,11.35,17.93,2,2.0
321,2025-01-05,19,Uptown,15.15,22.49,1,5.0
322,2025-01-06,20,Greenfield,8.05,15.13,1,1.0
323,2025-03-11,15,Greenfield,17.5,25.19,1,4.0
324,2025-02-06,13,Downtown,9.14,13.36,3,5.0
325,2025-01-16,20,Tech Park,5.24,8.64,3,4.0
326,2025-02-19,12,Riverside,6.24,6.98,1,5.0
327,2025-03-08,13,Airport,12.3,19.67,2,5.0
328,2025-03-19,9,Hillcrest,3.67,7.2,1,5.0
329,2025-02-11,17,Greenfield,2.71,8.28,1,4.0
330,2025-01-22,20,Old Town,7.4,12.16,1,4.0
331,2025-02-15,18,Greenfield,2.71,5.65,2,4.0
332,2025-01-08,5,Tech Park,3.49,6.62,1,3.0
333,2025-03-28,13,Downtown,11.7,16.85,1,4.0
334,2025-02-26,9,Riverside,15.5,24.04,1,4.0
335,2025-02-16,18,Tech Park,5.27,10.4,3,5.0
336,2025-01-20,19,Old Town,12.98,20.33,1,4.0
337,2025-03-15,11,Hillcrest,5.82,12.04,1,5.0
338,2025-02-05,8,Airport,18.88,26.01,1,5.0
339,2025-03-08,23,Hillcrest,9.49,13.86,1,4.0
340,2025-02-27,6,Market District,6.9,12.11,1,3.0
341,2025-03-04,9,Airport,5.63,9.78,1,5.0
342,2025-01-23,23,Airport,17.14,25.44,2,2.0
343,2025-02-10,18,Airport,9.1,15.25,1,5.0
344,2025-02-08,4,Riverside,7.21,9.37,2,5.0
345,2025-01-16,9,Riverside,11.74,17.04,1,5.0
346,2025-02-16,22,Lakeside,2.37,3.38,2,4.0
347,2025-03-20,8,Airport,13.74,22.89,1,1.0
348,2025-03-03,16,Tech Park,13.89,20.5,2,5.0
349,2025-02-10,7,Lakeside,12.92,20.27,1,5.0
350,2025-01-17,3,Riverside,15.88,25.21,1,3.0
351,2025-01-08,6,Hillcrest,10.48,16.87,1,5.0
352,2025-02-11,8,Old Town,5.75,8.97,3,5.0
353,2025-02-06,7,Greenfield,14.36,21.98,1,2.0
354,2025-02-05,6,Greenfield,12.36,14.3,2,5.0
355,2025-03-24,11,Market District,1.2,3.52,3,5.0
356,2025-03-26,14,Market District,2.03,6.88,1,3.0
357,2025-01-11,6,Market District,10.23,15.73,1,5.0
358,2025-03-15,19,Market District,8.88,12.12,2,5.0
359,2025-03-22,20,Greenfield,6.03,8.0,1,3.0
360,2025-03-29,16,Greenfield,16.0,24.58,1,4.0
361,2025-01-21,16,Tech Park,6.75,10.79,1,5.0
362,2025-03-19,14,Old Town,10.41,16.68,3,5.0
363,2025-02-14,21,Riverside,9.69,14.71,2,5.0
364,2025-01-14,17,Uptown,8.14,13.03,1,5.0
365,2025-02-01,10,Airport,8.76,14.99,1,2.0
366,2025-03-20,17,Uptown,8.89,11.06,4,3.0
367,2025-02-11,20,Uptown,10.23,17.3,2,5.0
368,2025-03-07,9,Lakeside,18.94,26.91,3,5.0
369,2025-01-12,21,Hillcrest,3.3,7.71,1,5.0
370,2025-03-16,14,Downtown,5.38,12.37,1,5.0
371,2025-03-25,17,Greenfield,9.59,16.27,1,3.0
372,2025-02-25,9,Greenfield,9.25,15.07,2,4.0
373,2025-02-16,15,Tech Park,8.21,13.47,1,4.0
374,2025-02-16,21,Airport,14.03,22.52,1,5.0
375,2025-03-12,19,Market District,2.78,8.56,2,5.0
376,2025-01-13,14,Old Town,10.01,14.38,2,5.0
377,2025-02-16,7,Uptown,10.14,16.16,2,5.0
378,2025-01-06,9,Downtown,16.57,24.72,1,5.0
379,2025-03-02,17,Riverside,13.32,21.6,2,5.0
380,2025-02-11,14,Riverside,11.49,18.49,1,4.0
381,2025-02-08,17,Hillcrest,15.38,22.27,2,5.0
382,2025-03-14,18,Lakeside,7.63,12.44,2,5.0
383,2025-03-28,4,Tech Park,1.3,6.58,1,4.0
384,2025-03-30,5,Market District,3.54,3.87,1,2.0
385,2025-03-16,6,Downtown,1.88,7.41,1,5.0
386,2025-03-22,21,Riverside,5.06,12.46,2,5.0
387,2025-03-15,10,Uptown,6.88,7.69,1,5.0
388,2025-01-20,23,Uptown,1.55,3.0,1,4.0
389,2025-03-02,11,Riverside,20.7,31.49,1,4.0
390,2025-03-26,19,Hillcrest,11.47,18.69,1,2.0
391,2025-02-28,20,Hillcrest,9.91,15.54,1,4.0
392,2025-03-29,17,Market District,4.73,8.23,1,2.0
393,2025-02-05,12,Uptown,8.01,11.43,3,1.0
394,2025-02-06,4,Lakeside,9.4,16.81,1,5.0
395,2025-02-05,20,Airport,0.65,3.0,1,5.0
396,2025-02-20,20,Riverside,3.59,6.83,1,5.0
397,2025-01-11,19,Lakeside,3.66,7.42,2,4.0
398,2025-01-28,3,Hillcrest,5.49,10.12,1,4.0
399,2025-02-04,3,Airport,10.7,16.38,2,4.0
400,2025-02-01,9,Hillcrest,9.62,17.05,1,5.0
401,2025-01-13,18,Old Town,6.35,,2,5.0
402,2025-01-18,9,Hillcrest,8.74,13.92,4,5.0
403,2025-03-25,15,Lakeside,5.19,7.14,2,4.0
404,2025-02-06,23,Greenfield,2.28,4.42,2,3.0
405,2025-01-12,5,Hillcrest,12.97,18.92,2,3.0
406,2025-01-05,11,Tech Park,5.13,9.59,3,5.0
407,2025-01-05,15,Lakeside,19.23,25.72,1,4.0
408,2025-02-07,8,Downtown,11.67,18.29,1,4.0
409,2025-02-12,17,Lakeside,7.85,12.77,4,5.0
410,2025-03-05,7,Hillcrest,13.32,23.13,1,5.0
411,2025-01-15,16,Riverside,1.65,4.51,2,4.0
412,2025-01-24,15,Old Town,4.48,10.78,2,4.0
413,2025-01-25,13,Market District,5.73,10.8,3,3.0
414,2025-02-24,22,Airport,6.6,10.77,1,5.0
415,2025-01-18,16,Old Town,3.43,5.99,3,5.0
416,2025-02-19,4,Lakeside,8.67,12.62,2,2.0
417,2025-02-08,8,Greenfield,0.72,3.93,2,4.0
418,2025-01-08,10,Lakeside,2.47,6.27,1,5.0
419,2025-03-06,21,Airport,2.45,8.19,2,2.0
420,2025-02-17,9,Uptown,4.97,8.88,4,5.0
421,2025-02-28,19,Tech Park,8.88,14.85,2,3.0
422,2025-03-10,5,Uptown,9.35,12.53,2,4.0
423,2025-01-11,17,Hillcrest,3.98,6.57,2,5.0
424,2025-03-14,11,Downtown,13.96,21.56,2,3.0
425,2025-01-26,4,Riverside,6.92,13.32,1,5.0
426,2025-01-15,8,Market District,20.1,29.22,1,3.0
427,2025-02-27,8,Lakeside,6.95,11.74,1,5.0
428,2025-03-14,7,Hillcrest,12.04,19.59,1,3.0
429,2025-01-03,15,Greenfield,1.84,3.0,2,4.0
430,2025-03-16,9,Downtown,2.98,3.14,1,4.0
431,2025-03-11,9,Airport,20.96,29.74,4,5.0
432,2025-02-06,20,Riverside,8.91,13.93,2,4.0
433,2025-03-24,20,Old Town,7.05,12.07,4,5.0
434,2025-02-18,18,Airport,5.16,10.7,2,4.0
435,2025-03-11,7,Old Town,4.72,9.44,1,1.0
436,2025-02-20,5,Uptown,8.64,13.72,2,4.0
437,2025-02-08,21,Hillcrest,10.87,16.59,1,5.0
438,2025-01-30,10,Lakeside,15.45,23.42,1,5.0
439,2025-01-15,8,Tech Park,1.94,3.42,2,2.0
440,2025-01-03,7,Uptown,5.45,9.3,1,4.0
441,2025-02-27,8,Uptown,11.15,16.89,2,5.0
442,2025-01-30,9,Downtown,8.82,11.0,1,1.0
443,2025-01-30,15,Market District,7.78,10.8,1,4.0
444,2025-02-11,9,Greenfield,16.15,25.32,3,1.0
445,2025-03-08,7,Tech Park,15.95,23.46,1,5.0
446,2025-03-17,6,Tech Park,5.43,9.11,1,5.0
447,2025-02-14,16,Hillcrest,9.35,14.9,1,5.0
448,2025-01-20,18,Tech Park,10.68,18.17,1,5.0
449,2025-01-31,10,Greenfield,1.08,3.0,3,5.0
450,2025-03-01,10,Hillcrest,1.67,4.33,1,5.0
451,2025-03-09,4,Tech Park,1.51,5.28,1,5.0
452,2025-03-24,10,Lakeside,5.62,5.92,2,5.0
453,2025-01-25,6,Greenfield,10.46,13.88,1,4.0
454,2025-01-06,8,Uptown,8.42,14.31,2,4.0
455,2025-03-27,8,Lakeside,3.63,9.01,1,3.0
456,2025-02-08,7,Uptown,8.36,11.97,3,2.0
457,2025-01-16,16,Uptown,4.08,7.54,2,4.0
458,2025-02-20,13,Hillcrest,1.64,3.0,1,5.0
459,2025-03-01,22,Greenfield,7.45,11.18,1,5.0
460,2025-03-05,21,Airport,5.47,12.35,2,4.0
